구분,자체부담(백만원),외부조달(백만원),총 연구개발비(백만원)
대덕,3469421,4243526,7712947
광주,499970,379591,879561
대구,157450,450988,608438
부산,167681,379045,546726
전북,215505,425565,641070
강소,778749,1631106,2409855
